config,iteration,rmse,ic_mean,ic_std,icir,ic_pos,n_ic_days
numleaves_7,25,0.10484039761041578,0.36709226867499534,0.13398993024596817,2.7397004237640563,1.0,21
subsample_05,25,0.10488539531113568,0.08229752291625453,0.283073262299136,0.29072870481595364,0.6444444444444445,225
subsample_08,100,0.10487392330074263,0.04292025442595259,0.23831457489831384,0.18009915861951029,0.5649122807017544,570
bagfreq_1,75,0.10497584828030043,0.04199316948063423,0.23898693509501048,0.1757132433366687,0.5697865353037767,609
subsample_10,25,0.10481427489557618,0.0344705419640193,0.2923140789726792,0.11792296178536461,0.5244444444444445,225
bagfreq_0,25,0.10481427489557618,0.0344705419640193,0.2923140789726792,0.11792296178536461,0.5244444444444445,225
alpha_005,50,0.1048812311395943,0.028242370649260804,0.25352966162237134,0.1113967118030055,0.5380434782608695,368
best_base,50,0.10489575006908478,0.028242370649260804,0.25352966162237134,0.1113967118030055,0.5380434782608695,368
alpha_01,50,0.10489575006908478,0.028242370649260804,0.25352966162237134,0.1113967118030055,0.5380434782608695,368
bagfreq_5,50,0.10489575006908478,0.028242370649260804,0.25352966162237134,0.1113967118030055,0.5380434782608695,368
alpha_0,50,0.1048992225565051,0.028242370649260804,0.25352966162237134,0.1113967118030055,0.5380434782608695,368
numleaves_31,50,0.10501019593960274,0.02653657248201218,0.23511574734274124,0.1128659938006124,0.5483443708609271,755
subsample_06,100,0.10510522156494917,0.024295879511949375,0.24378281849715328,0.0996619846374985,0.5016129032258064,620
